ambiguous: real SP 1.3 twice, identical
dynamic-no-move: real SP 1.3 twice, identical
dynamic-other: real SP 1.3 twice, identical
dynamic-x5: real SP 1.3 twice, identical
dynamic-x8: real SP 1.3 twice, identical
evaluate: real SP 1.3 twice, identical
goto: real SP 1.3 twice, identical
if: real SP 1.3 twice, identical
incomplete: real SP 1.3 twice, identical
literal-raw: real SP 1.3 twice, identical
literal: real SP 1.3 twice, identical
no-continuation: real SP 1.3 twice, identical
not-on-exception: real SP 1.3 twice, identical
on-exception: real SP 1.3 twice, identical
on-overflow: real SP 1.3 twice, identical
perform: real SP 1.3 twice, identical
refmod: real SP 1.3 twice, identical
returning: real SP 1.3 twice, identical
subscript: real SP 1.3 twice, identical
truncation: real SP 1.3 twice, identical
two-data: real SP 1.3 twice, identical
unresolved: real SP 1.3 twice, identical
using: real SP 1.3 twice, identical
